session,t_ros,x,y,z,yaw_deg,nearest_dense_wp,nearest_distance_m
210339_wrong_localization,1786795439.730465412,-4.952526,-3.592649,-0.096142,12.742,10,2.1552
210339_wrong_localization,1786795439.829085350,-4.955636,-3.589883,-0.098092,12.735,10,2.1512
210339_wrong_localization,1786795439.941635370,-4.955174,-3.589458,-0.097875,12.768,10,2.1511
210339_wrong_localization,1786795440.031344175,-4.953602,-3.591177,-0.097076,12.786,10,2.1534
210339_wrong_localization,1786795440.130230665,-4.952429,-3.590139,-0.096030,12.804,10,2.1532
210339_wrong_localization,1786795440.230054379,-4.952536,-3.589930,-0.096859,12.726,10,2.1530
210339_wrong_localization,1786795440.330227375,-4.955676,-3.589954,-0.095926,12.788,10,2.1512
210339_wrong_localization,1786795440.428912640,-4.955772,-3.589089,-0.097141,12.817,10,2.1504
210339_wrong_localization,1786795440.528749943,-4.951755,-3.590590,-0.096010,12.693,10,2.1540
210339_wrong_localization,1786795440.628630638,-4.949036,-3.595616,-0.094334,12.577,10,2.1597
210339_wrong_localization,1786795440.728909254,-4.952050,-3.596437,-0.095821,12.716,10,2.1586
210339_wrong_localization,1786795440.828972101,-4.948356,-3.596874,-0.095477,12.735,10,2.1611
210339_wrong_localization,1786795440.929052114,-4.952991,-3.595540,-0.095802,12.682,10,2.1573
210339_wrong_localization,1786795441.030204296,-4.954830,-3.596999,-0.095198,12.796,10,2.1575
210339_wrong_localization,1786795441.130615473,-4.954788,-3.593010,-0.097052,12.885,10,2.1542
210339_wrong_localization,1786795441.230444670,-4.954820,-3.591606,-0.097683,12.785,10,2.1531
210339_wrong_localization,1786795441.329887390,-4.955487,-3.590711,-0.096364,12.610,10,2.1519
210339_wrong_localization,1786795441.430267334,-4.954090,-3.593454,-0.097111,12.730,10,2.1550
210339_wrong_localization,1786795441.528872013,-4.951409,-3.589337,-0.096543,12.677,11,2.1531
210339_wrong_localization,1786795441.629344463,-4.951225,-3.592343,-0.097331,12.765,10,2.1557
210339_wrong_localization,1786795441.728903770,-4.947706,-3.594022,-0.094123,12.757,11,2.1590
210339_wrong_localization,1786795441.830543518,-4.953185,-3.595309,-0.096536,12.705,10,2.1570
210339_wrong_localization,1786795441.929163933,-4.955704,-3.590809,-0.096197,12.690,10,2.1519
210339_wrong_localization,1786795442.030201197,-4.957044,-3.592223,-0.097532,12.702,10,2.1523
210339_wrong_localization,1786795442.130626917,-4.959228,-3.594639,-0.098014,12.689,10,2.1530
210339_wrong_localization,1786795442.230518818,-4.957837,-3.592296,-0.096453,12.677,10,2.1519
210339_wrong_localization,1786795442.329133272,-4.955856,-3.591158,-0.096075,12.713,10,2.1521
210339_wrong_localization,1786795442.428671598,-4.958689,-3.589210,-0.096235,12.731,10,2.1489
210339_wrong_localization,1786795442.528827667,-4.958791,-3.588706,-0.097733,12.775,10,2.1484
210339_wrong_localization,1786795442.628949165,-4.957071,-3.588990,-0.096833,12.767,10,2.1496
210339_wrong_localization,1786795442.728953362,-4.956222,-3.588589,-0.096514,12.637,10,2.1498
