session,t_ros,topic,linear_x,angular_z
210339_wrong_localization,1786795422.349415779,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.369409800,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.384593964,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.389481783,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.409445763,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.429570913,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.443524122,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.449419737,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.451241732,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.469446421,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.489379168,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.509365559,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.517917156,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.529485226,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.543534994,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.549466848,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.569333792,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.584649086,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.589357615,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.609349012,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.629505396,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.643544912,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.649439812,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.651254654,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.669325590,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.689356327,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.709321737,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.717900991,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.729575157,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.743520737,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.749439955,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.769400835,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.784559488,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.789391994,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.809353590,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.829492569,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.843529701,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.849433899,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.851253986,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.869345903,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.889328957,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.909344196,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.917918444,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.929578543,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.943520784,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795422.949453354,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.969350576,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795422.984634876,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795422.989439487,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.009341240,/cmd_vel,0.000000,0.000000
